NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,FB,2020-06-09,USD,238.67,2021-06-09,322.94,35.31,24.0,2020-07-14,239.73,OPEN,0.44,3.0,10.0,1.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,196.98,16.25,11.0,2020-07-14,185.45,OPEN,9.44,68.0,10.0,58.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,203.56,20.13,14.0,2020-07-14,185.45,OPEN,9.44,68.0,10.0,47.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,199.74,17.88,12.0,2020-07-14,185.45,OPEN,9.44,68.0,10.0,53.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,200.48,18.31,13.0,2020-07-14,185.45,OPEN,9.44,68.0,10.0,52.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,201.37,18.84,13.0,2020-07-14,185.45,OPEN,9.44,68.0,10.0,50.0
-,ASX-A2M,2020-06-10,AUD,17.99,2021-06-10,41.01,127.96,88.0,2020-07-14,19.64,OPEN,9.17,68.0,9.0,7.0
-,ASX-CTD,2020-06-10,AUD,14.5,2021-06-10,19.34,33.38,23.0,2020-07-14,8.52,OPEN,-41.24,-306.0,9.0,-124.0
-,ASX-EVN,2020-06-10,AUD,5.29,2021-06-10,6.8,28.54,20.0,2020-07-14,6.0,OPEN,13.42,99.0,9.0,47.0
-,ASX-MFG,2020-06-10,AUD,59.98,2021-06-10,81.21,35.4,24.0,2020-07-14,60.99,OPEN,1.68,12.0,9.0,5.0
-,ASX-NAN,2020-06-10,AUD,6.92,2021-06-10,9.32,34.68,24.0,2020-07-14,6.04,OPEN,-12.72,-94.0,9.0,-37.0
-,ASX-NAN,2020-06-10,AUD,6.92,2021-06-10,9.36,35.26,24.0,2020-07-14,6.04,OPEN,-12.72,-94.0,9.0,-36.0
-,ASX-NST,2020-06-10,AUD,12.96,2021-06-10,19.32,49.07,34.0,2020-07-14,14.51,OPEN,11.96,89.0,9.0,24.0
-,ASX-NST,2020-06-10,AUD,12.96,2021-06-10,18.76,44.75,31.0,2020-07-14,14.51,OPEN,11.96,89.0,9.0,27.0
-,ASX-REA,2020-06-10,AUD,107.0,2021-06-10,151.27,41.37,29.0,2020-07-14,104.0,OPEN,-2.8,-21.0,9.0,-7.0
-,ASX-REA,2020-06-10,AUD,107.0,2021-06-10,149.45,39.67,27.0,2020-07-14,104.0,OPEN,-2.8,-21.0,9.0,-7.0
-,ASX-RMD,2020-06-10,AUD,23.22,2021-06-10,28.96,24.72,17.0,2020-07-14,27.34,OPEN,17.74,131.0,9.0,72.0
-,ASX-SDF,2020-06-10,AUD,3.39,2021-06-10,3.91,15.34,11.0,2020-07-14,3.3,OPEN,-2.65,-20.0,9.0,-17.0
-,ASX-SDF,2020-06-10,AUD,3.39,2021-06-10,3.97,17.11,12.0,2020-07-14,3.3,OPEN,-2.65,-20.0,9.0,-16.0
-,FB,2020-06-10,USD,236.73,2021-06-10,318.05,34.35,24.0,2020-07-14,239.73,OPEN,1.27,9.0,9.0,4.0
-,FB,2020-06-10,USD,236.73,2021-06-10,320.35,35.32,24.0,2020-07-14,239.73,OPEN,1.27,9.0,9.0,4.0
-,ASX-NXT,2020-06-11,AUD,9.13,2021-06-11,11.41,24.97,17.0,2020-07-07,11.41,CLOSED,24.97,242.0,7.0,100.0
-,AMZN,2020-06-11,USD,2557.96,2021-06-11,3312.56,29.5,20.0,2020-07-13,3312.56,CLOSED,29.5,232.0,9.0,100.0
-,XBI,2020-06-11,USD,98.97,2021-06-11,114.62,15.81,11.0,2020-06-23,114.62,CLOSED,15.81,332.0,3.0,100.0
-,ASX-A2M,2020-06-11,AUD,17.79,2021-06-11,33.22,86.73,60.0,2020-07-14,19.64,OPEN,10.4,79.0,9.0,12.0
-,ASX-ALU,2020-06-11,AUD,34.18,2021-06-11,44.64,30.6,21.0,2020-07-14,32.29,OPEN,-5.53,-42.0,9.0,-18.0
-,ASX-ALU,2020-06-11,AUD,34.18,2021-06-11,45.25,32.39,22.0,2020-07-14,32.29,OPEN,-5.53,-42.0,9.0,-17.0
-,ASX-ALU,2020-06-11,AUD,34.18,2021-06-11,45.74,33.82,23.0,2020-07-14,32.29,OPEN,-5.53,-42.0,9.0,-16.0
-,ASX-CCP,2020-06-11,AUD,18.27,2021-06-11,21.99,20.36,14.0,2020-07-14,16.29,OPEN,-10.84,-83.0,9.0,-53.0
-,ASX-CCP,2020-06-11,AUD,18.27,2021-06-11,24.82,35.85,25.0,2020-07-14,16.29,OPEN,-10.84,-83.0,9.0,-30.0
-,ASX-CCP,2020-06-11,AUD,18.27,2021-06-11,24.69,35.14,24.0,2020-07-14,16.29,OPEN,-10.84,-83.0,9.0,-31.0
-,ASX-EVN,2020-06-11,AUD,5.52,2021-06-11,6.62,19.93,14.0,2020-07-14,6.0,OPEN,8.7,66.0,9.0,44.0
-,ASX-MFG,2020-06-11,AUD,58.66,2021-06-11,76.31,30.09,21.0,2020-07-14,60.99,OPEN,3.97,30.0,9.0,13.0
-,ASX-NST,2020-06-11,AUD,13.89,2021-06-11,22.02,58.53,40.0,2020-07-14,14.51,OPEN,4.46,34.0,9.0,8.0
-,ASX-NST,2020-06-11,AUD,13.89,2021-06-11,19.18,38.08,26.0,2020-07-14,14.51,OPEN,4.46,34.0,9.0,12.0
-,ASX-NST,2020-06-11,AUD,13.89,2021-06-11,20.5,47.59,33.0,2020-07-14,14.51,OPEN,4.46,34.0,9.0,9.0
-,0700.HK,2020-06-11,HKD,442.4,2021-06-11,648.19,46.52,32.0,2020-07-14,525.0,OPEN,18.67,143.0,9.0,40.0
-,1299.HK,2020-06-11,HKD,71.35,2021-06-11,83.39,16.87,12.0,2020-07-14,73.75,OPEN,3.36,26.0,9.0,20.0
-,1299.HK,2020-06-11,HKD,71.35,2021-06-11,84.2,18.01,12.0,2020-07-14,73.75,OPEN,3.36,26.0,9.0,19.0
-,2382.HK,2020-06-11,HKD,111.5,2021-06-11,169.32,51.86,36.0,2020-07-14,139.1,OPEN,24.75,189.0,9.0,48.0
-,2588.HK,2020-06-11,HKD,50.2,2021-06-11,58.26,16.06,11.0,2020-07-14,47.9,OPEN,-4.58,-35.0,9.0,-29.0
-,FB,2020-06-11,USD,224.43,2021-06-11,295.93,31.86,22.0,2020-07-14,239.73,OPEN,6.82,52.0,9.0,21.0
-,BRKb,2020-06-11,USD,4064.87,2021-06-11,4678.46,15.09,10.0,2020-07-14,4270.0,OPEN,5.05,39.0,9.0,33.0
-,DHR,2020-06-11,USD,164.9,2021-06-11,195.96,18.84,13.0,2020-07-14,185.45,OPEN,12.46,95.0,9.0,66.0
-,MA,2020-06-11,USD,291.25,2021-06-11,392.76,34.85,24.0,2020-07-14,298.95,OPEN,2.64,20.0,9.0,8.0
-,MA,2020-06-11,USD,291.25,2021-06-11,395.38,35.75,25.0,2020-07-14,298.95,OPEN,2.64,20.0,9.0,7.0
-,MA,2020-06-11,USD,291.25,2021-06-11,394.28,35.38,24.0,2020-07-14,298.95,OPEN,2.64,20.0,9.0,7.0
-,UTX,2020-06-11,USD,100.92,2021-06-11,199.83,98.01,68.0,2020-07-14,97.13,OPEN,-3.76,-29.0,9.0,-4.0
-,UNH,2020-06-11,USD,283.73,2021-06-11,341.16,20.24,14.0,2020-07-14,308.52,OPEN,8.74,67.0,9.0,43.0
-,V,2020-06-11,USD,188.88,2021-06-11,232.02,22.84,16.0,2020-07-14,193.33,OPEN,2.36,18.0,9.0,10.0
-,AMT,2020-06-11,USD,251.51,2021-06-11,302.46,20.26,14.0,2020-07-14,258.94,OPEN,2.95,23.0,9.0,15.0
-,O,2020-06-11,USD,57.88,2021-06-11,69.46,20.01,14.0,2020-07-14,57.55,OPEN,-0.57,-4.0,9.0,-3.0
-,O,2020-06-11,USD,57.88,2021-06-11,66.79,15.39,11.0,2020-07-14,57.55,OPEN,-0.57,-4.0,9.0,-4.0
-,O,2020-06-11,USD,57.88,2021-06-11,69.46,20.01,14.0,2020-07-14,57.55,OPEN,-0.57,-4.0,9.0,-3.0
-,O,2020-06-11,USD,57.88,2021-06-11,68.41,18.19,13.0,2020-07-14,57.55,OPEN,-0.57,-4.0,9.0,-3.0
-,O,2020-06-11,USD,57.88,2021-06-11,66.79,15.39,11.0,2020-07-14,57.55,OPEN,-0.57,-4.0,9.0,-4.0
-,O,2020-06-11,USD,57.88,2021-06-11,68.83,18.92,13.0,2020-07-14,57.55,OPEN,-0.57,-4.0,9.0,-3.0
-,XAR,2020-06-11,USD,86.56,2021-06-11,100.35,15.93,11.0,2020-07-14,83.99,OPEN,-2.97,-23.0,9.0,-19.0
-,XAR,2020-06-11,USD,86.56,2021-06-11,100.73,16.37,11.0,2020-07-14,83.99,OPEN,-2.97,-23.0,9.0,-18.0
-,SHOP,2020-06-11,USD,725.12,2021-06-11,1084.96,49.62,34.0,2020-07-14,974.41,OPEN,34.38,263.0,9.0,69.0
-,PYPL,2020-06-11,USD,153.04,2021-06-11,199.5,30.36,21.0,2020-07-14,172.3,OPEN,12.58,96.0,9.0,41.0
-,PYPL,2020-06-11,USD,153.04,2021-06-11,202.14,32.08,22.0,2020-07-14,172.3,OPEN,12.58,96.0,9.0,39.0
-,0175.HK,2020-06-12,HKD,11.96,2021-06-12,19.23,60.79,42.0,2020-07-13,19.23,CLOSED,60.79,494.0,8.0,100.0
-,0400.HK,2020-06-12,HKD,0.82,2021-06-12,0.99,20.73,14.0,2020-06-17,0.99,CLOSED,20.73,1045.0,1.0,100.0
-,0700.HK,2020-06-12,HKD,441.6,2021-06-12,532.86,20.67,14.0,2020-07-08,532.86,CLOSED,20.67,200.0,7.0,100.0
-,ASX-CCP,2020-06-12,AUD,16.75,2021-06-12,24.01,43.34,30.0,2020-07-14,16.29,OPEN,-2.75,-22.0,9.0,-6.0
-,ASX-MFG,2020-06-12,AUD,55.72,2021-06-12,75.44,35.39,24.0,2020-07-14,60.99,OPEN,9.46,74.0,9.0,27.0
-,ASX-NST,2020-06-12,AUD,13.7,2021-06-12,21.7,58.39,40.0,2020-07-14,14.51,OPEN,5.91,47.0,9.0,10.0
-,ASX-NST,2020-06-12,AUD,13.7,2021-06-12,22.88,67.01,46.0,2020-07-14,14.51,OPEN,5.91,47.0,9.0,9.0
-,ASX-NST,2020-06-12,AUD,13.7,2021-06-12,21.75,58.76,41.0,2020-07-14,14.51,OPEN,5.91,47.0,9.0,10.0
-,ASX-NST,2020-06-12,AUD,13.7,2021-06-12,21.38,56.06,39.0,2020-07-14,14.51,OPEN,5.91,47.0,9.0,11.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,35.01,20.31,14.0,2020-07-14,29.9,OPEN,2.75,22.0,9.0,14.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,34.82,19.66,14.0,2020-07-14,29.9,OPEN,2.75,22.0,9.0,14.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,34.66,19.11,13.0,2020-07-14,29.9,OPEN,2.75,22.0,9.0,14.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,34.82,19.66,14.0,2020-07-14,29.9,OPEN,2.75,22.0,9.0,14.0
-,0435.HK,2020-06-12,HKD,3.92,2021-06-12,4.66,18.88,13.0,2020-07-14,3.86,OPEN,-1.53,-12.0,9.0,-8.0
-,1251.HK,2020-06-12,HKD,0.32,2021-06-12,0.43,34.37,24.0,2020-07-14,0.32,OPEN,0.0,0.0,9.0,0.0
-,2588.HK,2020-06-12,HKD,50.3,2021-06-12,61.11,21.49,15.0,2020-07-14,47.9,OPEN,-4.77,-38.0,9.0,-22.0
-,FB,2020-06-12,USD,228.58,2021-06-12,305.59,33.69,23.0,2020-07-14,239.73,OPEN,4.88,38.0,9.0,14.0
-,FB,2020-06-12,USD,228.58,2021-06-12,283.6,24.07,17.0,2020-07-14,239.73,OPEN,4.88,38.0,9.0,20.0
-,FB,2020-06-12,USD,228.58,2021-06-12,303.86,32.93,23.0,2020-07-14,239.73,OPEN,4.88,38.0,9.0,15.0
-,GOOG,2020-06-12,USD,1413.18,2021-06-12,1729.68,22.4,15.0,2020-07-14,1520.58,OPEN,7.6,60.0,9.0,34.0
-,GOOG,2020-06-12,USD,1413.18,2021-06-12,1680.44,18.91,13.0,2020-07-14,1520.58,OPEN,7.6,60.0,9.0,40.0
-,INDEXDJX-.DJI,2020-06-12,USD,25605.54,2021-06-12,30062.8,17.41,12.0,2020-07-14,26642.59,OPEN,4.05,32.0,9.0,23.0
-,DHR,2020-06-12,USD,168.38,2021-06-12,198.01,17.6,12.0,2020-07-14,185.45,OPEN,10.14,80.0,9.0,58.0
-,DHR,2020-06-12,USD,168.38,2021-06-12,196.44,16.66,12.0,2020-07-14,185.45,OPEN,10.14,80.0,9.0,61.0
-,DHR,2020-06-12,USD,168.38,2021-06-12,196.07,16.44,11.0,2020-07-14,185.45,OPEN,10.14,80.0,9.0,62.0
-,MA,2020-06-12,USD,297.79,2021-06-12,398.36,33.77,23.0,2020-07-14,298.95,OPEN,0.39,3.0,9.0,1.0
-,MA,2020-06-12,USD,297.79,2021-06-12,403.1,35.36,24.0,2020-07-14,298.95,OPEN,0.39,3.0,9.0,1.0
